districtid,timeid,dose1,dose2
AP_East Godavari,10.0,0,0
AP_East Godavari,11.0,0,0
AP_East Godavari,12.0,0,0
AP_East Godavari,13.0,0,0
AP_East Godavari,14.0,0,0
AP_East Godavari,15.0,0,0
AP_East Godavari,16.0,0,0
AP_East Godavari,17.0,0,0
AP_East Godavari,18.0,0,0
AP_East Godavari,19.0,0,0
AP_East Godavari,20.0,0,0
AP_East Godavari,21.0,0,0
AP_East Godavari,22.0,0,0
AP_East Godavari,23.0,0,0
AP_East Godavari,24.0,0,0
AP_East Godavari,25.0,0,0
AP_East Godavari,26.0,0,0
AP_East Godavari,27.0,0,0
AP_East Godavari,28.0,0,0
AP_East Godavari,29.0,0,0
AP_East Godavari,30.0,0,0
AP_East Godavari,31.0,0,0
AP_East Godavari,32.0,0,0
AP_East Godavari,33.0,0,0
AP_East Godavari,34.0,0,0
AP_East Godavari,35.0,0,0
AP_East Godavari,36.0,0,0
AP_East Godavari,37.0,0,0
AP_East Godavari,38.0,0,0
AP_East Godavari,39.0,0,0
AP_East Godavari,40.0,0,0
AP_East Godavari,41.0,0,0
AP_East Godavari,42.0,0,0
AP_East Godavari,43.0,0,0
AP_East Godavari,44.0,1012,0
AP_East Godavari,45.0,11148,0
AP_East Godavari,46.0,9677,0
AP_East Godavari,47.0,13061,0
AP_East Godavari,48.0,5468,301
AP_East Godavari,49.0,6711,4189
AP_East Godavari,50.0,9612,7603
AP_East Godavari,51.0,14003,7046
AP_East Godavari,52.0,27104,6763
AP_East Godavari,53.0,53331,6364
AP_East Godavari,54.0,61245,7423
AP_East Godavari,55.0,38013,2478
AP_East Godavari,56.0,62966,14795
AP_East Godavari,57.0,72392,10523
AP_East Godavari,58.0,44552,61242
AP_East Godavari,59.0,52050,37828
AP_East Godavari,60.0,11738,30496
AP_East Godavari,61.0,4967,8374
AP_East Godavari,62.0,3298,26204
AP_East Godavari,63.0,196451,17126
AP_East Godavari,64.0,81984,4767
AP_East Godavari,65.0,123698,1250
AP_East Godavari,66.0,60655,572
AP_East Godavari,67.0,191003,17470
AP_East Godavari,68.0,152745,22813
AP_East Godavari,69.0,39974,39850
AP_East Godavari,70.0,101683,57558
AP_East Godavari,71.0,54724,51655
AP_East Godavari,72.0,182868,56708
AP_East Godavari,73.0,188187,37474
AP_East Godavari,74.0,51170,13601
AP_Guntur,1.0,0,0
AP_Guntur,2.0,0,0
AP_Guntur,3.0,0,0
AP_Guntur,4.0,0,0
AP_Guntur,5.0,0,0
AP_Guntur,6.0,0,0
AP_Guntur,7.0,0,0
AP_Guntur,8.0,0,0
AP_Guntur,9.0,0,0
AP_Guntur,10.0,0,0
AP_Guntur,11.0,0,0
AP_Guntur,12.0,0,0
AP_Guntur,13.0,0,0
AP_Guntur,14.0,0,0
AP_Guntur,15.0,0,0
AP_Guntur,16.0,0,0
AP_Guntur,17.0,0,0
AP_Guntur,18.0,0,0
AP_Guntur,19.0,0,0
AP_Guntur,20.0,0,0
AP_Guntur,21.0,0,0
AP_Guntur,22.0,0,0
AP_Guntur,23.0,0,0
AP_Guntur,24.0,0,0
AP_Guntur,25.0,0,0
AP_Guntur,26.0,0,0
AP_Guntur,27.0,0,0
AP_Guntur,28.0,0,0
AP_Guntur,29.0,0,0
AP_Guntur,30.0,0,0
AP_Guntur,31.0,0,0
AP_Guntur,32.0,0,0
AP_Guntur,33.0,0,0
AP_Guntur,34.0,0,0
AP_Guntur,35.0,0,0
AP_Guntur,36.0,0,0
AP_Guntur,37.0,0,0
AP_Guntur,38.0,0,0
AP_Guntur,39.0,0,0
AP_Guntur,40.0,0,0
AP_Guntur,41.0,0,0
AP_Guntur,42.0,0,0
AP_Guntur,43.0,0,0
AP_Guntur,44.0,303,0
AP_Guntur,45.0,3174,0
AP_Guntur,46.0,5396,0
AP_Guntur,47.0,6811,0
AP_Guntur,48.0,6595,1086
AP_Guntur,49.0,13785,5895
AP_Guntur,50.0,13238,3060
AP_Guntur,51.0,12115,3825
AP_Guntur,52.0,14562,5088
AP_Guntur,53.0,33485,7243
AP_Guntur,54.0,51973,7934
AP_Guntur,55.0,47332,5396
AP_Guntur,56.0,63977,9129
AP_Guntur,57.0,68230,6355
AP_Guntur,58.0,61606,42091
AP_Guntur,59.0,60285,21237
AP_Guntur,60.0,29194,32102
AP_Guntur,61.0,7299,22036
AP_Guntur,62.0,9247,15162
AP_Guntur,63.0,152440,22906
AP_Guntur,64.0,81969,9366
AP_Guntur,65.0,88154,7647
AP_Guntur,66.0,58124,8600
AP_Guntur,67.0,182062,28971
AP_Guntur,68.0,124702,28917
AP_Guntur,69.0,40069,12451
AP_Guntur,70.0,125905,60879
AP_Guntur,71.0,38329,56945
AP_Guntur,72.0,126988,64637
AP_Guntur,73.0,141089,60748
AP_Guntur,74.0,90097,42735
AP_Krishna,1.0,0,0
AP_Krishna,2.0,0,0
AP_Krishna,3.0,0,0
AP_Krishna,4.0,0,0
AP_Krishna,5.0,0,0
AP_Krishna,6.0,0,0
AP_Krishna,7.0,0,0
AP_Krishna,8.0,0,0
AP_Krishna,9.0,0,0
AP_Krishna,10.0,0,0
AP_Krishna,11.0,0,0
AP_Krishna,12.0,0,0
AP_Krishna,13.0,0,0
AP_Krishna,14.0,0,0
AP_Krishna,15.0,0,0
AP_Krishna,16.0,0,0
AP_Krishna,17.0,0,0
AP_Krishna,18.0,0,0
AP_Krishna,19.0,0,0
AP_Krishna,20.0,0,0
AP_Krishna,21.0,0,0
AP_Krishna,22.0,0,0
AP_Krishna,23.0,0,0
AP_Krishna,24.0,0,0
AP_Krishna,25.0,0,0
AP_Krishna,26.0,0,0
AP_Krishna,27.0,0,0
AP_Krishna,28.0,0,0
AP_Krishna,29.0,0,0
AP_Krishna,30.0,0,0
AP_Krishna,31.0,0,0
AP_Krishna,32.0,0,0
AP_Krishna,33.0,0,0
AP_Krishna,34.0,0,0
AP_Krishna,35.0,0,0
AP_Krishna,36.0,0,0
AP_Krishna,37.0,0,0
AP_Krishna,38.0,0,0
AP_Krishna,39.0,0,0
AP_Krishna,40.0,0,0
AP_Krishna,41.0,0,0
AP_Krishna,42.0,0,0
AP_Krishna,43.0,0,0
AP_Krishna,44.0,144,0
AP_Krishna,45.0,4393,0
AP_Krishna,46.0,5503,0
AP_Krishna,47.0,7259,0
AP_Krishna,48.0,7360,525
AP_Krishna,49.0,5112,6561
AP_Krishna,50.0,10344,4324
AP_Krishna,51.0,10622,3201
AP_Krishna,52.0,21069,6327
AP_Krishna,53.0,42785,4674
AP_Krishna,54.0,51408,6327
AP_Krishna,55.0,48922,4496
AP_Krishna,56.0,65440,6132
AP_Krishna,57.0,83044,4742
AP_Krishna,58.0,50683,49445
AP_Krishna,59.0,58323,35153
AP_Krishna,60.0,20323,42632
AP_Krishna,61.0,5469,37842
AP_Krishna,62.0,7482,20487
AP_Krishna,63.0,168626,11410
AP_Krishna,64.0,86588,5265
AP_Krishna,65.0,128215,5890
AP_Krishna,66.0,56532,3695
AP_Krishna,67.0,204267,27920
AP_Krishna,68.0,99712,41564
AP_Krishna,69.0,29328,19280
AP_Krishna,70.0,40128,63668
AP_Krishna,71.0,85962,47349
AP_Krishna,72.0,127294,45350
AP_Krishna,73.0,153529,32553
AP_Krishna,74.0,70395,20777
AP_Kurnool,1.0,0,0
AP_Kurnool,2.0,0,0
AP_Kurnool,3.0,0,0
AP_Kurnool,4.0,0,0
AP_Kurnool,5.0,0,0
AP_Kurnool,6.0,0,0
AP_Kurnool,7.0,0,0
AP_Kurnool,8.0,0,0
AP_Kurnool,9.0,0,0
AP_Kurnool,10.0,0,0
AP_Kurnool,11.0,0,0
AP_Kurnool,12.0,0,0
AP_Kurnool,13.0,0,0
AP_Kurnool,14.0,0,0
AP_Kurnool,15.0,0,0
AP_Kurnool,16.0,0,0
AP_Kurnool,17.0,0,0
AP_Kurnool,18.0,0,0
AP_Kurnool,19.0,0,0
AP_Kurnool,20.0,0,0
AP_Kurnool,21.0,0,0
AP_Kurnool,22.0,0,0
AP_Kurnool,23.0,0,0
AP_Kurnool,24.0,0,0
AP_Kurnool,25.0,0,0
AP_Kurnool,26.0,0,0
AP_Kurnool,27.0,0,0
AP_Kurnool,28.0,0,0
AP_Kurnool,29.0,0,0
AP_Kurnool,30.0,0,0
AP_Kurnool,31.0,0,0
AP_Kurnool,32.0,0,0
AP_Kurnool,33.0,0,0
AP_Kurnool,34.0,0,0
AP_Kurnool,35.0,0,0
AP_Kurnool,36.0,0,0
AP_Kurnool,37.0,0,0
AP_Kurnool,38.0,0,0
AP_Kurnool,39.0,0,0
AP_Kurnool,40.0,0,0
AP_Kurnool,41.0,0,0
AP_Kurnool,42.0,0,0
AP_Kurnool,43.0,0,0
AP_Kurnool,44.0,214,0
AP_Kurnool,45.0,3572,0
AP_Kurnool,46.0,3057,0
AP_Kurnool,47.0,9757,0
AP_Kurnool,48.0,4804,507
AP_Kurnool,49.0,6159,5033
AP_Kurnool,50.0,6973,2790
AP_Kurnool,51.0,6273,3637
AP_Kurnool,52.0,11088,3614
AP_Kurnool,53.0,30788,4010
AP_Kurnool,54.0,59180,3822
AP_Kurnool,55.0,39595,3154
AP_Kurnool,56.0,67498,5689
AP_Kurnool,57.0,43961,3888
AP_Kurnool,58.0,37187,41220
AP_Kurnool,59.0,43758,28287
AP_Kurnool,60.0,12550,35190
AP_Kurnool,61.0,3352,13041
AP_Kurnool,62.0,9545,14680
AP_Kurnool,63.0,108733,4713
AP_Kurnool,64.0,62562,4565
